Student_ID,Attendance_%,Study_Hours,Assignment_Marks,Internal_Marks,Final_Exam_Marks
1,95,1.8,87,70,73
2,69,2,46,46,54
3,57,1.2,53,64,60
4,93,1.2,52,88,69
5,83,5.1,91,35,65
6,99,4,57,54,65
7,76,1.7,64,47,58
8,77,5.2,91,40,75
9,89,1.9,99,83,74
10,90,3.1,80,81,76
11,100,1.5,82,64,72
12,60,7,95,47,76
13,72,4.2,93,81,77
14,78,3.5,82,69,66
15,93,5.4,74,66,75
16,84,3.7,99,63,79
17,58,2.6,42,75,61
18,72,1.5,98,75,70
19,96,4.5,96,93,87
20,71,2,87,68,73
21,92,3.8,54,52,72
22,86,1.6,43,49,49
23,95,2.1,83,89,74
24,79,3.7,69,67,61
25,98,6,83,69,86
26,62,3.1,50,93,60
27,71,7.8,88,57,87
28,61,7.1,59,99,80
29,64,3.6,50,35,51
30,86,1.1,99,81,78
31,70,1.4,96,45,54
32,86,6.7,88,51,74
33,97,4.3,75,56,73
34,88,7.1,67,62,76
35,100,3.2,82,82,88
36,88,4.2,55,63,62
37,76,1.1,75,64,61
38,55,1.5,80,42,51
39,59,7.3,95,77,77
40,87,2.7,82,97,80
41,89,1.9,99,95,84
42,85,6.7,52,47,62
43,97,4,67,87,87
44,58,5.7,81,47,58
45,80,6.1,91,48,73
46,67,2.3,68,52,62
47,66,2.9,55,44,58
48,90,1.7,81,36,53
49,70,2.2,71,96,72
50,80,7.3,50,83,71
51,79,2.9,90,93,83
52,82,5.9,86,97,86
53,67,3.1,43,42,51
54,58,1.4,70,99,78
55,65,1.4,72,45,50
56,59,5.2,83,65,75
57,62,7.6,76,66,69
58,94,1.6,82,75,74
59,68,5.7,60,65,69
60,80,1.9,81,73,76
61,75,7.5,99,44,69
62,84,5.3,76,47,63
63,89,2.5,56,51,63
64,59,7.2,63,71,70
65,83,6.8,85,73,92
66,55,5.7,75,73,67
67,63,2.9,96,48,59
68,72,3,53,78,64
69,98,5.4,56,99,93
70,71,7.3,94,41,67
71,95,4,57,40,54
72,76,6.4,80,68,75
73,83,4.9,67,36,57
74,59,7.6,84,54,66
75,78,5.1,49,90,72
76,57,3.2,97,40,63
77,68,5.8,82,48,71
78,90,7.2,66,54,74
79,65,7.8,91,57,83
80,56,2.3,99,77,76
81,97,7,91,66,87
82,65,6.5,46,83,66
83,85,2.6,92,93,86
84,74,6.7,95,64,80
85,56,5.6,65,77,71
86,59,7.8,57,79,84
87,80,5.8,93,77,76
88,62,7.1,56,57,67
89,57,1.8,67,79,65
90,82,5.2,72,49,72
91,91,2.3,42,90,62
92,88,7.5,74,60,83
93,82,1.5,82,77,73
94,97,6.9,86,73,96
95,74,5.7,60,86,78
96,90,1.9,66,83,69
97,94,5,65,35,65
98,73,2.5,90,76,79
99,83,4.1,53,100,86
100,65,5.6,58,100,81
