Day,Units_Produced,Defective_Units
1,947,21
2,1058,10
3,1015,18
4,923,15
5,1025,24
6,937,17
7,1133,11
8,999,21
9,1096,14
10,902,18
11,954,18
12,1165,14
13,1137,21
14,962,19
15,1133,21
16,1171,22
17,1186,7
18,1126,11
19,1158,8
20,1128,22
21,981,17
22,1032,12
23,1026,20
24,1166,14
25,1148,15
26,939,15
27,1046,18
28,1176,22
29,941,20
30,978,20
31,1009,22
32,1177,20
33,1138,15
34,1115,19
35,1099,23
36,910,14
37,1194,17
38,1080,18
39,1052,18
40,1114,8
41,1175,17
42,1012,11
43,1149,19
44,914,23
45,1099,14
46,1107,24
47,984,24
48,1173,8
49,913,23
50,913,14
51,942,16
52,1136,15
53,993,22
54,1008,19
55,1132,14
56,1094,25
57,1042,18
58,1029,8
59,941,9
60,926,19
61,1079,18
62,920,19
63,915,21
64,910,16
65,978,18
66,958,23
67,1188,23
68,1031,16
69,1088,21
70,958,23
71,983,20
72,913,17
73,1059,8
74,1092,12
75,1103,21
76,1024,16
77,952,16
78,961,13
79,1189,18
80,1119,13
81,1089,24
82,906,21
83,1115,19
84,1085,15
85,1135,16
86,1167,12
87,1038,9
88,1147,10
89,1138,10
90,1037,21
91,1065,23
92,944,10
93,1042,20
94,1137,15
95,1191,14
96,914,14
97,1153,19
98,1008,15
99,1081,19
100,1041,13
